epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,270.23,1.68437,0.45641,0.94849,1.7545,0.00333241,0.00333241,0.00333241
2,527.303,1.41844,0.52901,0.97184,1.68153,0.00650076,0.00650076,0.00650076
3,778.125,1.37712,0.53524,0.97509,1.67526,0.00950412,0.00950412,0.00950412
4,1027.43,1.36597,0.53991,0.97141,1.69309,0.0092575,0.0092575,0.0092575
5,1277.02,1.29034,0.58067,0.98358,1.64133,0.00901,0.00901,0.00901
6,1525.2,1.23379,0.60529,0.98457,1.62598,0.0087625,0.0087625,0.0087625
7,1773.19,1.19083,0.62199,0.98599,1.60734,0.008515,0.008515,0.008515
8,2021.41,1.16762,0.62129,0.98712,1.60748,0.0082675,0.0082675,0.0082675
9,2269.63,1.14381,0.62949,0.9891,1.59846,0.00802,0.00802,0.00802
10,2517.82,1.1177,0.64195,0.98939,1.59145,0.0077725,0.0077725,0.0077725
11,2766.04,1.10517,0.64874,0.98995,1.58832,0.007525,0.007525,0.007525
12,3014.35,1.09152,0.65454,0.99094,1.57522,0.0072775,0.0072775,0.0072775
13,3262.85,1.07199,0.65681,0.9908,1.56708,0.00703,0.00703,0.00703
14,3511.15,1.06226,0.66134,0.99108,1.56453,0.0067825,0.0067825,0.0067825
15,3759.28,1.04909,0.66077,0.99094,1.57001,0.006535,0.006535,0.006535
16,4007.65,1.03312,0.67167,0.99193,1.55625,0.0062875,0.0062875,0.0062875
17,4256.28,1.02906,0.66954,0.99207,1.55688,0.00604,0.00604,0.00604
18,4505.08,1.01698,0.6728,0.99222,1.5494,0.0057925,0.0057925,0.0057925
19,4753.67,0.99952,0.67917,0.99307,1.54646,0.005545,0.005545,0.005545
20,5002.31,0.994,0.68157,0.99278,1.54563,0.0052975,0.0052975,0.0052975
21,5250.45,0.98291,0.68681,0.99207,1.54115,0.00505,0.00505,0.00505
22,5499.19,0.97597,0.68596,0.99278,1.53933,0.0048025,0.0048025,0.0048025
23,5747.9,0.96351,0.68837,0.99292,1.53672,0.004555,0.004555,0.004555
24,5996.02,0.95426,0.69091,0.99349,1.5322,0.0043075,0.0043075,0.0043075
25,6244.56,0.94188,0.69275,0.99321,1.52909,0.00406,0.00406,0.00406
26,6492.72,0.92883,0.69304,0.99292,1.52752,0.0038125,0.0038125,0.0038125
27,6740.82,0.91482,0.69601,0.99377,1.52562,0.003565,0.003565,0.003565
28,6989.05,0.90875,0.69544,0.99391,1.52414,0.0033175,0.0033175,0.0033175
29,7238.14,0.90073,0.69629,0.9942,1.52219,0.00307,0.00307,0.00307
30,7487.42,0.87965,0.69785,0.9942,1.52029,0.0028225,0.0028225,0.0028225
31,7765.38,0.87536,0.69785,0.99434,1.51842,0.002575,0.002575,0.002575
32,8013.02,0.85924,0.69912,0.99406,1.51728,0.0023275,0.0023275,0.0023275
33,8260.11,0.84436,0.70125,0.99377,1.51566,0.00208,0.00208,0.00208
34,8507.2,0.8346,0.70181,0.99391,1.51455,0.0018325,0.0018325,0.0018325
35,8754.4,0.81891,0.70195,0.99391,1.51353,0.001585,0.001585,0.001585
36,9001.64,0.79823,0.70379,0.99391,1.51268,0.0013375,0.0013375,0.0013375
37,9249.28,0.78665,0.70379,0.9942,1.51158,0.00109,0.00109,0.00109
38,9496.83,0.76517,0.70436,0.99434,1.51061,0.0008425,0.0008425,0.0008425
39,9744.02,0.75473,0.70464,0.99476,1.50989,0.000595,0.000595,0.000595
40,9991.65,0.74289,0.70379,0.99448,1.50899,0.0003475,0.0003475,0.0003475
